X,Y,OBJECTID,Objecttype,Type_velo,Ligging,Straatnaam,Huisnummer,Aanvulling,District,Postcode,Objectcode,Gebruik,Aantal_plaatsen,Naam
492502.964361444,6658188.61124142,9115,VELOSTATION,ENKELZIJDIG,PARKEERZONE,Provinciestraat,,thv mercatorstraat,Antwerpen,2018,VE_0000104,IN_GEBRUIK,18,104 Mercator
488390.988395742,6658262.57856607,9116,VELOSTATION,DUBBELZIJDIG,VOETPAD,Waalsekaai,46,thv Fotografie museum,Antwerpen,2000,VE_0000082,IN_GEBRUIK,36,082 Fotografiemuseum
490731.633458948,6658309.53479695,9117,VELOSTATION,DUBBELZIJDIG,VOETPAD,Mechelsesteenweg,66,,Antwerpen,2018,VE_0000091,IN_GEBRUIK,18,091 Hemelstraat
493307.374851863,6658342.07504882,9118,VELOSTATION,ENKELZIJDIG,VOETPAD,Lange Van Ruusbroecstraat,114,,Antwerpen,2018,VE_0000105,IN_GEBRUIK,33,105 Plantin en Moretus
490132.242588627,6658380.71271157,9119,VELOSTATION,ENKELZIJDIG,VOETPAD,Britselei,86-94,,Antwerpen,2000,VE_0000078,IN_GEBRUIK,27,078 Oud Gerechtshof
488887.909404494,6658510.26146846,9120,VELOSTATION,ENKELZIJDIG,PARKEERZONE,Vlaamsekaai,35,,Antwerpen,2000,VE_0000075,IN_GEBRUIK,21,075 Vlaamsekaai
491739.414327424,6658533.64727361,9121,VELOSTATION,ENKELZIJDIG,MIDDENBERM,Van Eycklei,48,to 48,Antwerpen,2018,VE_0000116,IN_GEBRUIK,18,116 Loosplaats
488552.011757485,6658649.3297281,9122,VELOSTATION,ENKELZIJDIG,VOETGANGERSZONE,Waalsekaai,53,,Antwerpen,2000,VE_0000034,IN_GEBRUIK,24,034 MUKHA
490615.796275083,6658712.59739554,9123,VELOSTATION,ENKEL-DUBBELZIJDIG,VOETPAD,Britselei,4,thv mechelsesteenweg,Antwerpen,2000,VE_0000079,IN_GEBRUIK,36,079 Nationale Bank
494011.995856784,6658831.7626615,9124,VELOSTATION,ENKELZIJDIG,PLEIN,Maarschalk Montgomeryplein,4,to 4 oh plein,Borgerhout,2140,VE_0000132,IN_GEBRUIK,18,132 Montgomery
489683.503309401,6658860.13590613,9125,VELOSTATION,ENKELZIJDIG,PARKEERZONE,Kronenburgstraat,82,to 82,Antwerpen,2000,VE_0000072,IN_GEBRUIK,36,072 Tropisch Instituut
489139.651413247,6658931.14410812,9126,VELOSTATION,DUBBELZIJDIG,VOETPAD,Kloosterstraat,164,to 164 thv kronenburgstraat,Antwerpen,2000,VE_0000074,IN_GEBRUIK,30,074 Vismijn
492211.351048982,6659058.08006185,9127,VELOSTATION,DUBBELZIJDIG,PLEIN,Kievitplein,,,Antwerpen,2018,VE_0000005,IN_GEBRUIK,36,005 Centraal Station - Kievit
490358.402586862,6659139.84814304,9128,VELOSTATION,ENKELZIJDIG,MIDDENBERM,Lange Gasthuisstraat,3,to 3,Antwerpen,2000,VE_0000084,IN_GEBRUIK,33,084 Elzenveld
493579.32159487,6659122.3980039,9129,VELOSTATION,DUBBELZIJDIG,PLEIN,Moorkensplein,,,Borgerhout,2140,VE_0000107,IN_GEBRUIK,36,107 Moorkensplein
491149.416171338,6659472.39260592,9130,VELOSTATION,ENKELZIJDIG,PARKEERZONE,Tabakvest,42,,Antwerpen,2000,VE_0000037,IN_GEBRUIK,30,037 Theater
491609.469119357,6659263.23464148,9131,VELOSTATION,ENKELZIJDIG,PARKEERZONE,Quinten Matsijslei,12,,Antwerpen,2018,VE_0000095,IN_GEBRUIK,30,095 Quinten Matsijs 
489397.236773879,6659385.11554409,9132,VELOSTATION,ENKELZIJDIG,PARKEERZONE,Sint-Andriesplaats,23,to 23 oh plein,Antwerpen,2000,VE_0000070,IN_GEBRUIK,30,070 Sint-Andries
488971.862939091,6659383.64596766,9133,VELOSTATION,ENKELZIJDIG,PARKEERZONE,Sint-Michielskaai,21,to 21,Antwerpen,2000,VE_0000071,BUITEN_GEBRUIK,30,071 Sint-Michielskaai
490147.413902093,6659550.27317918,9134,VELOSTATION,ENKEL-DUBBELZIJDIG,PARKEERZONE,Oudaan,14,,Antwerpen,2000,VE_0000067,IN_GEBRUIK,36,067 Oudaan
490783.14211566,6659462.3459211,9135,VELOSTATION,ENKELZIJDIG,VOETPAD,Arenbergstraat,40,,Antwerpen,2000,VE_0000036,IN_GEBRUIK,33,036 Bourla
490794.400056557,6659783.52837837,9136,VELOSTATION,DUBBELZIJDIG,VOETPAD,Wapper,,thv Jodenstraat,Antwerpen,2000,VE_0000023,IN_GEBRUIK,36,023 Rubenshuis
489721.321526995,6659791.4833871,9137,VELOSTATION,ENKELZIJDIG,PARKEERZONE,Drukkerijstraat,18,,Antwerpen,2000,VE_0000066,IN_GEBRUIK,24,066 Modemuseum
